Year,Country name,Country iso,Occurrence,Total deaths,Affected,Injured,Homeless,Total affected,Total damage ('000 $)
1965,Bahamas,BHS,1,0,1200,0,0,1200,700
1965,Bangladesh,BGD,3,48921,10060000,600000,5000000,15660000,57700
1965,Fiji,FJI,1,2,10000,0,0,10000,0
1965,Hong Kong (China),HKG,1,5,0,3,200,203,0
1965,Japan,JPN,3,147,30000,770,0,30770,0
1965,Myanmar,MMR,1,100,500000,0,0,500000,1000
1965,Pakistan,PAK,1,10000,0,0,0,0,0
1965,Philippines,PHL,1,37,0,0,0,0,0
1965,Taiwan (China),TWN,2,55,0,166,0,166,0
1965,United States,USA,1,299,0,0,0,0,1420000
1965,Wallis and Futuna Is,WLF,1,0,0,0,0,0,0
1966,American Samoa,ASM,1,90,0,0,0,0,0
1966,Antigua and Barbuda,ATG,1,0,0,0,0,0,0
1966,Bahamas,BHS,2,5,0,3,0,3,15500
1966,Bangladesh,BGD,1,850,1500000,0,300000,1800000,22400
1966,Cuba,CUB,1,5,156000,30,18000,174030,18000
1966,Dominican Rep,DOM,1,74,7000,442,5500,12942,5000
1966,Guadeloupe,GLP,1,25,10000,0,0,10000,70000
1966,Haiti,HTI,1,480,67000,881,0,67881,20000
1966,India,IND,1,18,150000,0,0,150000,4200
1966,Japan,JPN,2,358,13764,121,0,13885,7900
1966,Mexico,MEX,1,14,80000,69,10000,90069,24000
1966,Philippines,PHL,1,18,196000,0,90000,286000,1000
1966,Samoa,WSM,1,10,95000,0,0,95000,600
1966,Solomon Is,SLB,1,3,1000,0,0,1000,0
1966,Taiwan (China),TWN,1,36,5000,21,0,5021,17322
1966,Tokelau,TKL,1,0,0,0,0,0,0
1966,Wallis and Futuna Is,WLF,1,0,0,0,0,0,0
1967,Bangladesh,BGD,2,91,0,200,0,200,0
1967,Cook Is,COK,1,0,0,0,0,0,0
1967,Hong Kong (China),HKG,1,0,1500,3,0,1503,0
1967,India,IND,1,1000,0,0,0,0,0
1967,Japan,JPN,2,290,2655,429,0,3084,0
1967,Martinique,MTQ,1,15,1000,0,0,1000,0
1967,Mauritius,MUS,1,0,20000,24,3500,23524,5000
1967,Mexico,MEX,1,77,271000,0,0,271000,184000
1967,Myanmar,MMR,2,278,157319,200,0,157519,8200
1967,Philippines,PHL,1,107,137000,0,0,137000,26500
1967,Solomon Is,SLB,1,12,0,0,0,0,0
1967,St Lucia,LCA,1,0,0,0,0,0,3000
1967,St Vincent and the Grenad,VCT,1,2,0,0,0,0,4500
1967,Taiwan (China),TWN,1,69,100,67,0,167,0
1967,United States,USA,1,15,0,0,0,0,200000
1968,Bangladesh,BGD,1,118,15093,1045,0,16138,1500
1968,Cuba,CUB,1,0,0,0,0,0,0
1968,Hong Kong (China),HKG,1,0,3000,4,0,3004,0
1968,India,IND,1,7,15000,0,0,15000,0
1968,Japan,JPN,3,124,0,0,0,0,0
1968,Madagascar,MDG,1,29,65000,0,10000,75000,3100
1968,Myanmar,MMR,1,1070,60000,0,30000,90000,2500
1968,New Caledonia,NCL,1,0,0,0,0,0,0
1968,New Zealand,NZL,1,50,1000,0,0,1000,0
1968,Niue,NIU,1,0,0,0,0,0,0
1968,Philippines,PHL,2,50,187330,0,39313,226643,9600
1968,Samoa,WSM,1,0,0,4,0,4,238
1968,Solomon Is,SLB,1,1,0,0,200,200,0
1969,Bangladesh,BGD,1,849,160000,15530,23943,199473,8329
1969,El Salvador,SLV,1,2,4600,40,0,4640,1600
1969,Guatemala,GTM,1,269,10200,0,0,10200,15000
1969,Honduras,HND,1,0,8000,2,0,8002,19000
1969,Hong Kong (China),HKG,1,0,374,0,0,374,0
1969,India,IND,2,800,260000,0,0,260000,8330
1969,Madagascar,MDG,1,81,40000,40,3000,43040,5000
1969,New Caledonia,NCL,1,0,0,0,0,0,3000
1969,Philippines,PHL,1,11,0,0,0,0,0
1969,Taiwan (China),TWN,2,269,40000,408,0,40408,88000
1969,United States,USA,1,323,0,0,0,0,1420000
1970,Australia,AUS,1,13,0,0,0,0,72475
1970,Bangladesh,BGD,1,300000,3648000,0,0,3648000,86400
1970,China P Rep,CHN,1,107,6065,55,7880,14000,0
1970,Cuba,CUB,1,20,0,0,0,0,0
1970,Dominica,DMA,1,0,0,0,0,0,0
1970,Guadeloupe,GLP,1,0,0,0,0,0,0
1970,Italy,ITA,1,35,200,0,0,200,3200
1970,Madagascar,MDG,1,70,10000,0,0,10000,11400
1970,Martinique,MTQ,1,45,5000,0,0,5000,31000
1970,Philippines,PHL,8,3802,1740370,4977,67200,1812547,258399
1970,United States,USA,1,11,0,0,0,0,450000
1971,Australia,AUS,1,3,0,0,0,0,119219
1971,Bangladesh,BGD,1,163,0,0,0,0,0
1971,Honduras,HND,1,0,0,0,0,0,0
1971,Hong Kong (China),HKG,1,115,200,286,1000,1486,0
1971,India,IND,2,9718,4900000,0,2000000,6900000,30000
1971,Japan,JPN,1,135,0,0,0,0,0
1971,Mexico,MEX,1,17,0,0,0,0,0
1971,Nicaragua,NIC,1,35,2800,50,1800,4650,380
1971,Philippines,PHL,4,246,0,11,46500,46511,1290
1971,Viet Nam,VNM,2,112,50000,0,0,50000,0
1972,Fiji,FJI,1,3,120000,0,0,120000,22500
1972,India,IND,2,180,4530000,0,0,4530000,0
1972,Japan,JPN,1,50,0,0,0,0,0
1972,Kiribati,KIR,1,3,700,0,0,700,0
1972,Madagascar,MDG,1,91,2500000,56,10000,2510056,12420
1972,Mauritius,MUS,1,2,25000,16,0,25016,0
1972,New Caledonia,NCL,1,3,0,0,0,0,0
1972,Papua New Guinea,PNG,1,0,0,0,0,0,0
1972,Philippines,PHL,3,435,465000,678,27000,492678,48000
1972,Tuvalu,TUV,1,6,700,0,0,700,0
1972,United States,USA,2,256,0,0,0,0,2100000
1972,Vanuatu,VUT,3,4,0,0,0,0,0
1973,Bangladesh,BGD,1,1000,0,0,0,0,0
1973,Fiji,FJI,2,59,6150,0,0,6150,0
1973,Hong Kong (China),HKG,1,1,238,38,0,276,0
1973,Indonesia,IDN,1,1650,0,0,0,0,0
1973,Jamaica,JAM,1,6,2500,10,0,2510,1700
1973,Philippines,PHL,3,346,3400000,24,45000,3445024,7000
1973,Tonga,TON,1,3,700,0,200,900,500
1973,Viet Nam,VNM,1,100,150000,0,0,150000,0
1974,Australia,AUS,2,76,45000,640,0,45640,1096717
1974,Bangladesh,BGD,2,2500,0,0,0,0,0
1974,Belize,BLZ,1,0,70000,0,0,70000,4000
1974,Honduras,HND,1,8000,600000,0,0,600000,540000
1974,Hong Kong (China),HKG,2,1,2400,0,0,2400,0
1974,India,IND,2,20,25000,100,0,25100,0
1974,Japan,JPN,2,176,0,50,0,50,0
1974,Mexico,MEX,1,13,0,0,0,0,0
1974,Philippines,PHL,7,203,97095,117,6441,103653,55300
1974,Trinidad and Tobago,TTO,1,2,50000,0,0,50000,5000
1975,Australia,AUS,1,0,0,0,0,0,63861
1975,Fiji,FJI,1,0,23000,0,0,23000,1000
1975,Hong Kong (China),HKG,1,0,671,46,1280,1997,0
1975,India,IND,2,0,0,0,2000,2000,0
1975,Japan,JPN,1,68,123,52,0,175,505000
1975,Madagascar,MDG,1,7,10000,50,0,10050,0
1975,Mauritius,MUS,1,9,826199,59,0,826258,200000
1975,Mexico,MEX,1,29,0,0,0,0,0
1975,Myanmar,MMR,1,200,0,0,0,0,0
1975,New Caledonia,NCL,1,0,0,0,0,0,0
1975,Philippines,PHL,1,39,4518,8,698,5224,2161
1975,Puerto Rico,PRI,1,26,0,0,0,0,0
1975,United States,USA,1,21,0,0,0,0,550000
1976,Australia,AUS,3,0,0,0,0,0,48671
1976,Guam,GUM,1,9,0,0,0,0,120000
1976,Hong Kong (China),HKG,3,38,0,68,2424,2492,0
1976,India,IND,6,270,600000,0,0,600000,266756
1976,Japan,JPN,1,169,325000,107,0,325107,800000
1976,Madagascar,MDG,1,16,500000,26,8850,508876,17000
1976,Mexico,MEX,1,600,175000,1400,100000,276400,100000
1976,New Caledonia,NCL,1,0,0,0,0,0,0
1976,Philippines,PHL,3,387,2704443,17,110,2704570,178426
1977,Bangladesh,BGD,1,13,0,100,0,100,0
1977,Hong Kong (China),HKG,2,1,20,37,71,128,0
1977,India,IND,2,14206,9047400,0,5432400,14479800,498535
1977,Indonesia,IDN,1,1,3000,60,0,3060,0
1977,Japan,JPN,2,32,5000,45,8000,13045,0
1977,Madagascar,MDG,1,10,30000,0,0,30000,350000
1977,Mexico,MEX,1,10,50000,0,0,50000,0
1977,Oman,OMN,1,105,5000,48,0,5048,0
1977,Philippines,PHL,4,104,139922,118,15679,155719,4425
1977,Taiwan (China),TWN,1,61,11000,528,0,11528,250000
1977,Tonga,TON,1,0,10000,5,0,10005,1100
1977,Vanuatu,VUT,1,0,0,0,0,0,0
1977,Viet Nam,VNM,1,0,1000,0,0,1000,0
1978,Australia,AUS,1,5,100,0,0,100,1000000
1978,Belize,BLZ,1,5,6000,0,0,6000,6000
1978,Fiji,FJI,1,0,0,0,0,0,0
1978,Honduras,HND,1,0,0,0,7500,7500,1000
1978,Hong Kong (China),HKG,3,11,2293,185,418,2896,0
1978,India,IND,1,170,0,0,0,0,0
1978,Japan,JPN,1,6,0,100,3000,3100,0
1978,Korea Rep,KOR,1,0,4000,0,0,4000,19000
1978,Madagascar,MDG,1,70,18000,0,0,18000,29000
1978,Mozambique,MOZ,1,4,80000,0,25000,105000,0
1978,Myanmar,MMR,1,0,78000,0,54000,132000,0
1978,Philippines,PHL,9,617,1835169,834,22911,1858914,190084
1978,Sri Lanka,LKA,1,740,1000000,5000,0,1005000,100000
1979,Anguilla,AIA,1,0,0,0,0,0,0
1979,Australia,AUS,1,15,0,0,0,0,31286
1979,Bangladesh,BGD,2,53,0,150,0,150,0
1979,Dominica,DMA,1,40,70000,2100,0,72100,44650
1979,Dominican Rep,DOM,1,1400,1200000,4000,350000,1554000,150000
1979,Fiji,FJI,1,53,20600,300,15000,35900,0
1979,Guadeloupe,GLP,1,0,0,0,0,0,100000
1979,Haiti,HTI,1,8,1110,0,0,1110,0
1979,Hong Kong (China),HKG,2,13,11167,327,1096,12590,10000
