year,Country iso,Country name,occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage ('000 $)"
1965,BHS,Bahamas,1,0,1200,0,0,1200,700
1965,BGD,Bangladesh,3,48921,10060000,600000,5000000,15660000,57700
1965,FJI,Fiji,1,2,10000,0,0,10000,0
1965,HKG,"Hong Kong (China)",1,5,0,3,200,203,0
1965,JPN,Japan,3,147,30000,770,0,30770,0
1965,MMR,Myanmar,1,100,500000,0,0,500000,1000
1965,PAK,Pakistan,1,10000,0,0,0,0,0
1965,PHL,Philippines,1,37,0,0,0,0,0
1965,TWN,"Taiwan (China)",2,55,0,166,0,166,0
1965,USA,"United States",1,299,0,0,0,0,1420000
1965,WLF,"Wallis and Futuna Is",1,0,0,0,0,0,0
1966,ASM,"American Samoa",1,90,0,0,0,0,0
1966,ATG,"Antigua and Barbuda",1,0,0,0,0,0,0
1966,BHS,Bahamas,2,5,0,3,0,3,15500
1966,BGD,Bangladesh,1,850,1500000,0,300000,1800000,22400
1966,CUB,Cuba,1,5,156000,30,18000,174030,18000
1966,DOM,"Dominican Rep",1,74,7000,442,5500,12942,5000
1966,GLP,Guadeloupe,1,25,10000,0,0,10000,70000
1966,HTI,Haiti,1,480,67000,881,0,67881,20000
1966,IND,India,1,18,150000,0,0,150000,4200
1966,JPN,Japan,2,358,13764,121,0,13885,7900
1966,MEX,Mexico,1,14,80000,69,10000,90069,24000
1966,PHL,Philippines,1,18,196000,0,90000,286000,1000
1966,WSM,Samoa,1,10,95000,0,0,95000,600
1966,SLB,"Solomon Is",1,3,1000,0,0,1000,0
1966,TWN,"Taiwan (China)",1,36,5000,21,0,5021,17322
1966,TKL,Tokelau,1,0,0,0,0,0,0
1966,WLF,"Wallis and Futuna Is",1,0,0,0,0,0,0
1967,BGD,Bangladesh,2,91,0,200,0,200,0
1967,COK,"Cook Is",1,0,0,0,0,0,0
1967,HKG,"Hong Kong (China)",1,0,1500,3,0,1503,0
1967,IND,India,1,1000,0,0,0,0,0
1967,JPN,Japan,2,290,2655,429,0,3084,0
1967,MTQ,Martinique,1,15,1000,0,0,1000,0
1967,MUS,Mauritius,1,0,20000,24,3500,23524,5000
1967,MEX,Mexico,1,77,271000,0,0,271000,184000
1967,MMR,Myanmar,2,278,157319,200,0,157519,8200
1967,PHL,Philippines,1,107,137000,0,0,137000,26500
1967,SLB,"Solomon Is",1,12,0,0,0,0,0
1967,LCA,"St Lucia",1,0,0,0,0,0,3000
1967,VCT,"St Vincent and the Grenad",1,2,0,0,0,0,4500
1967,TWN,"Taiwan (China)",1,69,100,67,0,167,0
1967,USA,"United States",1,15,0,0,0,0,200000
1968,BGD,Bangladesh,1,118,15093,1045,0,16138,1500
1968,CUB,Cuba,1,0,0,0,0,0,0
1968,HKG,"Hong Kong (China)",1,0,3000,4,0,3004,0
1968,IND,India,1,7,15000,0,0,15000,0
1968,JPN,Japan,3,124,0,0,0,0,0
1968,MDG,Madagascar,1,29,65000,0,10000,75000,3100
1968,MMR,Myanmar,1,1070,60000,0,30000,90000,2500
1968,NCL,"New Caledonia",1,0,0,0,0,0,0
1968,NZL,"New Zealand",1,50,1000,0,0,1000,0
1968,NIU,Niue,1,0,0,0,0,0,0
1968,PHL,Philippines,2,50,187330,0,39313,226643,9600
1968,WSM,Samoa,1,0,0,4,0,4,238
1968,SLB,"Solomon Is",1,1,0,0,200,200,0
1969,BGD,Bangladesh,1,849,160000,15530,23943,199473,8329
1969,SLV,"El Salvador",1,2,4600,40,0,4640,1600
1969,GTM,Guatemala,1,269,10200,0,0,10200,15000
1969,HND,Honduras,1,0,8000,2,0,8002,19000
1969,HKG,"Hong Kong (China)",1,0,374,0,0,374,0
1969,IND,India,2,800,260000,0,0,260000,8330
1969,MDG,Madagascar,1,81,40000,40,3000,43040,5000
1969,NCL,"New Caledonia",1,0,0,0,0,0,3000
1969,PHL,Philippines,1,11,0,0,0,0,0
1969,TWN,"Taiwan (China)",2,269,40000,408,0,40408,88000
