year,"Country iso","Country name",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage ('000 $)"
1965,DZA,Algeria,1,2,37000,350,12000,49350,2000
1965,CHL,Chile,1,400,20000,350,0,20350,125000
1965,SLV,"El Salvador",1,125,90582,1138,48000,139720,35000
1965,GRC,Greece,1,38,30000,253,0,30253,8000
1965,IDN,Indonesia,2,111,0,0,0,0,0
1965,USA,"United States",1,7,0,0,0,0,28000
1966,CHL,Chile,1,4,3000,6,0,3006,400
1966,CHN,"China P Rep",1,0,0,0,0,0,0
1966,GRC,Greece,2,2,26000,173,0,26173,18000
1966,NPL,Nepal,1,80,20000,100,0,20100,1000
1966,PER,Peru,1,120,57600,1500,49256,108356,15000
1966,SUN,"Soviet Union",1,10,100000,0,0,100000,300000
1966,TUR,Turkey,2,2408,108000,1500,0,109500,20000
1966,UGA,Uganda,1,104,5000,510,0,5510,1500
1966,COD,"Zaire/Congo Dem Rep",1,24,3000,600,0,3600,200
1967,ALB,Albania,1,11,0,134,0,134,0
1967,COL,Colombia,1,61,40000,200,0,40200,600
1967,GRC,Greece,1,9,16527,56,0,16583,5000
1967,IND,India,1,177,50000,2272,0,52272,400
1967,IDN,Indonesia,2,125,0,221,8290,8511,0
1967,PHL,Philippines,1,200,0,0,0,0,0
1967,TUR,Turkey,1,183,238713,360,87000,326073,3000
1967,VEN,Venezuela,1,240,80000,1536,0,81536,50000
1967,YUG,Yugoslavia,1,7,16400,70,5400,21870,20000
1968,AUS,Australia,1,0,3874,16,400,4290,2600
1968,GRC,Greece,1,19,4000,18,3600,7618,600
1968,IRN,"Iran Islam Rep",2,10038,80000,4150,0,84150,36000
1968,ITA,Italy,1,224,55000,563,0,55563,250000
1968,JPN,Japan,1,47,2500,281,0,2781,131000
1968,MEX,Mexico,1,15,0,500,0,500,0
1968,NZL,"New Zealand",1,3,300,14,0,314,2669
1968,NIC,Nicaragua,1,0,2000,0,0,2000,2000
1968,PER,Peru,1,11,300,120,0,420,100
1968,PHL,Philippines,1,271,0,261,0,261,5000
1968,TUR,Turkey,1,29,0,0,0,0,0
1968,YUG,Yugoslavia,1,1,15000,30,0,15030,38600
1969,CHN,"China P Rep",1,3000,0,0,0,0,0
1969,ETH,Ethiopia,1,24,0,165,420,585,320
1969,IRN,"Iran Islam Rep",1,50,48000,300,0,48300,0
1969,PER,Peru,1,150,3000,216,0,3216,5000
1969,ZAF,"South Africa",1,9,1000,0,0,1000,0
1969,TUR,Turkey,1,41,0,350,0,350,0
1969,YUG,Yugoslavia,1,15,200000,1116,85000,286116,50000
1970,CHN,"China P Rep",1,10000,0,0,0,0,0
1970,COL,Colombia,2,430,3000,6,0,3006,400
1970,ECU,Ecuador,1,29,60000,120,27992,88112,4000
1970,IND,India,1,26,0,0,0,0,0
1970,IRN,"Iran Islam Rep",1,176,10000,0,0,10000,8000
1970,PNG,"Papua New Guinea",1,15,0,0,0,0,1750
1970,PER,Peru,2,66823,3087909,143583,0,3231492,532000
1970,PHL,Philippines,1,14,0,200,0,200,0
1970,TUR,Turkey,1,1086,80672,2776,0,83448,55600
1971,CHL,Chile,1,85,2348522,451,0,2348973,236400
1971,ITA,Italy,1,22,4120,100,0,4220,41600
1971,TUR,Turkey,2,935,60000,1200,27465,88665,5000
1971,USA,"United States",1,65,0,1000,0,1000,535000
1972,IND,India,1,100,0,0,0,0,0
1972,IRN,"Iran Islam Rep",1,5057,22126,1332,0,23458,1000
