year,"Country iso","Country name",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage ('000 $)"
1968,IDN,Indonesia,1,200,0,0,0,0,0
1969,IDN,Indonesia,1,64,0,97,0,97,0
1975,SLB,"Solomon Is",1,200,0,0,0,0,0
1979,FRA,France,1,11,0,2,0,2,0
1979,IDN,Indonesia,1,539,0,23,0,23,0
1983,JPN,Japan,1,102,0,77,0,77,416000
1993,JPN,Japan,1,239,5502,233,1620,7355,1000000
1996,PER,Peru,1,7,0,2,750,752,0
1997,VUT,Vanuatu,1,100,0,0,0,0,0
1998,PNG,"Papua New Guinea",1,2182,9199,668,0,9867,0
2004,BGD,Bangladesh,1,2,0,0,0,0,500000
2004,IND,India,1,16389,647599,6913,0,654512,1022800
2004,IDN,Indonesia,1,165708,0,0,532898,532898,4451600
2004,KEN,Kenya,1,1,0,0,0,0,100000
2004,MYS,Malaysia,1,80,0,767,4296,5063,500000
2004,MDV,Maldives,1,102,12000,2214,13000,27214,470100
2004,MMR,Myanmar,1,71,12500,0,3200,15700,500000
2004,SYC,Seychelles,1,3,4760,0,70,4830,30000
2004,SOM,Somalia,1,298,104800,283,0,105083,100000
2004,LKA,"Sri Lanka",1,35399,516130,23176,480000,1019306,1316500
2004,TZA,"Tanzania Uni Rep",1,10,0,0,0,0,0
2004,THA,Thailand,1,8345,58550,8457,0,67007,1000000
2006,IDN,Indonesia,1,802,35000,543,0,35543,55000
2007,SLB,"Solomon Is",1,52,2375,9,0,2384,0
2009,ASM,"American Samoa",1,34,2500,0,0,2500,0
2009,JPN,Japan,1,1,25000,319,0,25319,400000
2009,WSM,Samoa,1,143,5275,310,0,5585,150000
2009,TON,Tonga,1,9,500,7,0,507,9500
2010,IDN,Indonesia,1,530,11452,412,0,11864,0
2011,IDN,Indonesia,1,1,0,0,95,95,0
2011,JPN,Japan,1,19846,362887,5933,0,368820,210000000
2013,SLB,"Solomon Is",1,10,3329,0,0,3329,0
